label,result,vertices,edges,runtime
495,sat,9,10,"2.106373500000018
"
496,sat,7,6,"1.9289649000000963
"
497,sat,7,6,"1.9658817000000681
"
498,sat,9,11,"2.4078678999999283
"
499,sat,7,5,"1.9541444000000183
"
500,sat,7,6,"2.1091483000000153
"
501,sat,8,8,"1.972244299999943
"
502,sat,8,9,"2.0439512000000377
"
503,sat,8,9,"2.4616569000000936
"
504,sat,11,14,"2.9092891000000236
"
505,sat,8,9,"2.032457099999988
"
506,sat,7,7,"2.009328900000014
"
507,sat,8,10,"1.98831610000002
"
508,sat,7,8,"2.022184300000049
"
509,sat,12,18,"3.2298418999999967
"
510,sat,6,6,"1.8545953000000281
"
511,sat,6,5,"2.042093399999999
"
512,sat,6,6,"2.282691
"
513,sat,7,6,"2.2101335000000972
"
514,sat,8,8,"1.884933100000012
"
515,sat,8,9,"2.0024700999999823
"
516,sat,7,7,"2.019794100000013
"
517,sat,7,7,"1.8259477999999945
"
518,sat,7,7,"2.0260878000000275
"
519,sat,7,8,"1.9237507999999934
"
520,sat,7,7,"2.041088400000035
"
521,sat,9,9,"2.140636200000017
"
522,sat,6,6,"1.8511601000000155
"
523,sat,9,12,"2.1200556000000006
"
524,sat,9,11,"2.0547995000000583
"
525,sat,7,7,"1.9753541999999698
"
526,sat,7,7,"1.9842783000000281
"
527,sat,7,7,"1.973986400000058
"
528,sat,7,7,"1.9631879999999455
"
529,sat,7,6,"1.9625396999999793
"
530,sat,7,7,"1.8546036000000186
"
531,sat,7,8,"1.8740710999999237
"
532,sat,7,7,"1.8472102000000632
"
533,sat,7,6,"1.9526138999999603
"
534,sat,7,5,"2.102555499999994
"
535,sat,7,4,"1.9871102000000747
"
536,sat,7,5,"1.903457900000035
"
537,sat,11,15,"2.3335149999999203
"
538,sat,7,6,"1.984092099999998
"
539,sat,7,7,"1.826770099999976
"
540,sat,7,8,"1.9181168999999727
"
541,sat,7,8,"2.000305100000105
"
542,sat,7,8,"1.8868420000000015
"
543,sat,11,14,"2.684098199999994
"
544,sat,7,7,"2.107564400000001
"
545,sat,7,8,"1.983629599999972
"
546,sat,11,15,"2.7494011999999657
"
547,sat,9,8,"2.062393400000019
"
548,sat,9,9,"2.1680825999999342
"
549,sat,9,10,"2.2107915000000276
"
550,sat,7,5,"2.1101343999999926
"
551,sat,9,7,"1.9518830000000662
"
552,sat,9,8,"1.9354524999999967
"
553,sat,9,9,"2.1451854999999114
"
554,sat,9,8,"1.8925691999999117
"
555,sat,9,9,"2.0332540000000563
"
556,sat,9,9,"2.0614302000001317
"
557,sat,12,19,"3.116310999999996
"
558,sat,9,10,"2.094847200000004
"
559,sat,8,7,"2.1691088999998556
"
560,sat,6,5,"1.827049999999872
"
561,sat,8,11,"2.0395234000000073
"
562,sat,7,7,"1.9867079000000558
"
563,sat,9,11,"2.1426495999999133
"
564,sat,9,12,"2.0869376000000557
"
565,sat,8,9,"1.9770017999999254
"
566,sat,9,12,"2.193202700000029
"
567,sat,8,9,"2.070943499999885
"
568,sat,8,8,"2.023282300000119
"
569,sat,8,8,"1.9470724000000246
"
570,sat,8,8,"1.9966417000000547
"
571,sat,8,9,"1.9215701999999055
"
572,sat,8,10,"2.03064170000016
"
573,sat,8,10,"1.9321460999999545
"
574,sat,7,7,"1.8326673999999912
"
575,sat,7,9,"2.077139200000147
"
576,sat,7,8,"1.9310396000000765
"
577,sat,7,7,"2.0999420000000555
"
578,sat,7,5,"1.8866319999999632
"
579,sat,8,9,"2.02746860000002
"
580,sat,11,14,"2.515558100000135
"
581,sat,9,10,"2.0725413000000117
"
582,sat,8,10,"1.8983812999999827
"
583,sat,12,18,"3.290177599999879
"
584,sat,10,12,"2.14934889999995
"
585,sat,11,15,"2.48207380000008
"
586,sat,8,10,"2.1481074999999237
"
587,sat,12,19,"2.933758900000157
"
588,sat,8,8,"2.0110760999998547
"
589,sat,7,6,"1.8496500000001106
"
590,sat,8,9,"2.137409400000024
"
591,sat,9,8,"2.0044456000000537
"
592,sat,8,11,"2.042235000000119
"
593,sat,8,10,"1.9636666999999761
"
594,sat,8,9,"1.9564964999999575
"
595,sat,10,12,"2.118702100000064
"
596,sat,7,5,"1.89114840000002
"
597,sat,7,8,"1.8806110000000444
"
598,sat,7,6,"1.8803241999999045
"
599,sat,7,8,"2.014452399999982
"
600,sat,8,8,"1.9004996999999548
"
601,sat,6,6,"1.9040602999998555
"
602,sat,8,9,"2.0529661000000488
"
603,sat,8,8,"1.9400000999999065
"
604,sat,6,6,"1.9380856000000222
"
605,sat,9,10,"2.0380316000000676
"
606,sat,9,8,"2.1153708000001643
"
607,sat,7,7,"1.8961594999998397
"
608,sat,9,10,"2.1654900000000907
"
609,sat,6,7,"1.9701505000000452
"
610,sat,7,8,"2.0878893000001426
"
611,sat,8,9,"2.026769800000011
"
612,sat,9,10,"2.0781703000000107
"
613,sat,9,12,"2.2292843000000175
"
614,sat,9,10,"2.0860580999999456
"
615,sat,9,12,"2.1070098000000144
"
616,sat,6,5,"1.9088696999999684
"
617,sat,9,10,"2.021707000000106
"
618,sat,8,7,"1.9823025999999118
"
619,sat,8,6,"1.9820211999999628
"
620,sat,8,9,"1.8796841999999288
"
621,sat,8,8,"2.156652699999995
"
622,sat,8,4,"1.8940207000000555
"
623,sat,10,11,"1.9564789000000928
"
624,sat,9,9,"2.031701699999985
"
625,sat,9,9,"2.130627900000036
"
626,sat,10,7,"1.8307795000000624
"
627,sat,9,11,"2.0239005999999335
"
628,sat,9,11,"2.063647499999888
"
629,sat,10,9,"1.806099199999835
"
630,sat,7,9,"2.2717560999999478
"
631,sat,10,8,"2.070987000000059
"
632,sat,9,11,"2.0909833999999137
"
633,sat,7,9,"1.8648335000000316
"
634,sat,9,11,"1.8973429999998643
"
635,sat,9,11,"2.1557946000000356
"
636,sat,11,13,"2.7540733000000728
"
637,sat,9,9,"2.201712900000075
"
638,sat,6,6,"1.9235107999998036
"
639,sat,6,4,"1.915336600000046
"
640,sat,11,12,"1.9590183999998771
"
641,sat,9,10,"2.0261451999999736
"
642,sat,11,13,"1.8861810000000787
"
643,sat,8,10,"2.058973299999934
"
644,sat,10,13,"2.3862804000000324
"
645,sat,11,12,"2.382274900000084
"
646,sat,11,16,"2.4680146999999124
"
647,sat,9,10,"2.067641900000126
"
648,sat,10,12,"2.0626455000001442
"
649,sat,10,14,"2.2961711000000378
"
650,sat,11,14,"2.225950399999874
"
651,sat,11,17,"2.5627483999999185
"
652,sat,11,13,"2.1786055000000033
"
653,sat,8,10,"1.8239411999998083
"
654,sat,9,12,"2.0613804999998138
"
655,sat,11,13,"2.2500069999998686
"
656,sat,10,12,"2.1791341999999077
"
657,sat,9,11,"2.0182228000001032
"
658,sat,11,15,"2.365633900000148
"
659,sat,11,15,"2.3048413000001347
"
660,sat,8,8,"1.7299531999999544
"
661,sat,10,11,"2.0669863000000532
"
662,sat,11,14,"2.1830152999998518
"
663,sat,8,9,"1.9186526999999387
"
664,sat,12,17,"2.5837512000000515
"
665,sat,11,13,"2.0156361000001652
"
666,sat,11,15,"2.4947187000000213
"
667,sat,11,12,"1.9377646999998888
"
668,sat,8,7,"1.6371902000000773
"
669,sat,8,8,"1.6231799999998202
"
670,sat,6,5,"1.8861780999998246
"
671,sat,8,8,"1.949851899999885
"
672,sat,8,9,"1.8435938000000078
"
673,sat,8,10,"1.9124449000000823
"
674,sat,6,6,"1.76726890000009
"
675,sat,8,9,"1.8140431000001627
"
676,sat,8,11,"2.050933299999997
"
677,sat,8,9,"1.8343431000000692
"
678,sat,5,4,"1.793761800000084
"
679,sat,7,6,"1.765567400000009
"
680,sat,8,10,"1.7593994999999722
"
681,sat,5,5,"1.7258993999998893
"
682,sat,10,13,"2.0215053000001717
"
683,sat,8,6,"1.7897777000000588
"
684,sat,8,7,"1.812485899999956
"
